offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x0cc,204,33,0:936 127:113 25:28,unknown,,best key chip+S: agr=0.905 shuf=0.785,0,0.770,0.773,0.772,0.857,0.787,0.905,0.919
0x0cd,205,19,0:1021 127:113 25:22,unknown,,best key chip+S: agr=0.923 shuf=0.846,0,0.839,0.842,0.841,0.909,0.856,0.923,0.934
0x0ce,206,3,0:1137 1:67 2:15,determined-by:chip+S,consistent within chip+S groups,agr=0.989 shuf=0.935 G=254,13,0.933,0.933,0.933,0.949,0.933,0.989,0.989
0x0cf,207,79,0:532 138:122 131:104,unknown,,best key chip+geo: agr=0.855 shuf=0.539,0,0.449,0.468,0.454,0.733,0.507,0.808,0.855
0x0d0,208,3,0:1137 1:67 2:15,determined-by:chip+S,consistent within chip+S groups,agr=0.989 shuf=0.935 G=254,13,0.933,0.933,0.933,0.949,0.933,0.989,0.989
0x0d1,209,78,0:532 138:117 134:108,unknown,,best key chip+geo: agr=0.852 shuf=0.539,0,0.449,0.468,0.454,0.726,0.507,0.806,0.852
0x0d2,210,2,0:1218 3:1,near-constant,~const 0x00,1218/1219,1,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0x0d3,211,4,0:555 8:247 16:229,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.459 G=33,0,0.493,0.512,0.507,1.000,0.550,1.000,1.000
0x0d4,212,4,0:1010 1:141 2:66,unknown,,best key chip+geo: agr=0.906 shuf=0.848,0,0.831,0.833,0.833,0.851,0.843,0.878,0.906
0x0d5,213,2,0:1195 2:24,unknown,,best key chip: agr=1.000 shuf=0.980,0,0.980,0.980,0.980,1.000,0.980,1.000,1.000
0x0d6,214,5,0:542 10:282 12:202,determined-by:chip,consistent within chip groups,agr=0.990 shuf=0.450 G=33,12,0.501,0.513,0.512,0.990,0.550,0.994,0.996
0x0d7,215,5,0:562 2:288 5:192,determined-by:chip,consistent within chip groups,agr=0.984 shuf=0.464 G=33,20,0.518,0.529,0.528,0.984,0.567,0.991,0.996
0x0d8,216,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0d9,217,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0da,218,1,128:1219,constant,const 0x80,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0db,219,1,63:1219,constant,const 0x3f,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0dc,220,4,0:1205 1:9 240:4,unknown,,best key chip+S: agr=0.994 shuf=0.989,0,0.989,0.993,0.989,0.989,0.993,0.994,0.996
0x0dd,221,2,0:1218 24:1,near-constant,~const 0x00,1218/1219,1,0.999,1.000,0.999,0.999,1.000,0.999,1.000
0x0de,222,6,0:1196 1:16 16:3,unknown,,best key chip+geo: agr=0.986 shuf=0.982,0,0.981,0.981,0.981,0.981,0.981,0.984,0.986
0x0df,223,4,0:1193 63:16 27:9,unknown,,best key chip+geo: agr=0.986 shuf=0.979,0,0.979,0.979,0.979,0.979,0.979,0.982,0.986
0x0e0,224,29,0:940 20:67 64:46,unknown,,best key chip+geo: agr=0.930 shuf=0.801,0,0.772,0.773,0.772,0.887,0.779,0.911,0.930
0x0e1,225,24,0:960 99:113 7:57,likely-determined-by:chip+S,consistent within chip+S groups,agr=0.956 shuf=0.803 G=254,54,0.788,0.788,0.788,0.936,0.797,0.956,0.960
0x0e2,226,28,0:940 16:75 64:45,unknown,,best key chip+geo: agr=0.934 shuf=0.801,0,0.772,0.773,0.772,0.893,0.780,0.918,0.934
0x0e3,227,24,0:959 99:114 7:57,likely-determined-by:chip+S,consistent within chip+S groups,agr=0.953 shuf=0.803 G=254,57,0.787,0.788,0.787,0.935,0.796,0.953,0.958
0x0e4,228,2,0:1211 1:8,near-constant,~const 0x00,1211/1219,8,0.993,0.993,0.993,0.993,0.993,0.994,0.995
0x0e5,229,4,15:1085 31:109 7:15,likely-determined-by:chip+geo,consistent within chip+geo groups,agr=0.960 shuf=0.906 G=375,49,0.893,0.890,0.891,0.906,0.894,0.942,0.960
0x0e6,230,10,0:1074 32:93 64:20,unknown,,best key chip+geo: agr=0.924 shuf=0.900,0,0.881,0.881,0.887,0.884,0.889,0.902,0.924
0x0e7,231,12,32:478 0:416 40:168,unknown,,best key chip+S: agr=0.790 shuf=0.534,0,0.550,0.505,0.556,0.541,0.585,0.790,0.848
0x0e8,232,41,14:230 0:200 40:137,unknown,,best key chip+geo: agr=0.641 shuf=0.436,0,0.285,0.283,0.295,0.317,0.356,0.541,0.641
0x0e9,233,44,0:263 253:148 88:98,unknown,,best key chip: agr=0.760 shuf=0.230,0,0.251,0.245,0.258,0.760,0.302,0.854,0.889
0x0ea,234,11,0:1054 17:119 80:9,unknown,,best key chip+geo: agr=0.943 shuf=0.884,0,0.865,0.869,0.881,0.880,0.901,0.907,0.943
0x0eb,235,10,0:756 64:412 112:21,unknown,,best key chip+geo: agr=0.917 shuf=0.732,0,0.682,0.658,0.660,0.732,0.719,0.869,0.917
0x0ec,236,12,0:1018 17:118 64:34,unknown,,best key chip+geo: agr=0.929 shuf=0.857,0,0.835,0.841,0.852,0.851,0.874,0.888,0.929
